window,year,ckpt,model,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,long_ann_%,long_sharpe,short_ann_%,short_sharpe
5,2022,2021,TimesFM_20M_US,225028,251,-28.973385222711713,50.22130579305686,27.95820042216059,71.5081166745192,47.46081503479707,-8.038380319094493,-0.2599511115109441,0.019614115059972733,30.922661851192256,-3.189833459958132,38.354860812340476,-8.591649135518454,-0.7756889037239034,2.6898846360172635,-44.69678853213007,-1.5374859130983805,36.658408213035585,0.8017995395517712
5,2022,2021,TimesFM_20M_Global,225028,251,-31.384974374026363,49.17921325346179,40.230200573608336,58.3929412772519,48.795937944644784,-11.805399128854061,-0.40808754253965973,0.02138880019543998,28.92859472108674,-4.6846821939897065,32.580422039623755,-8.64254554774183,-0.7809070645450708,3.5704392609367033,-46.006649329169875,-1.4219275661659934,34.20125020031582,0.773496281421534
5,2022,2021,TimesFM_20M_Augmented,225028,251,-237.12796219997196,46.83283858008781,97.07516540933486,2.4242943418854668,33.89234786954773,-68.72999773512636,-2.2604800012852073,0.04672150530543916,30.40504569651117,-27.27380862505014,53.97122438852628,-5.729485863240584,0.32964082255701976,0.217555455312743,-60.87491465483027,-1.4254556008518282,-7.855083080296113,-0.34822330440885035
5,2023,-,zero,226803,249,0.0,,,,,,,0.0,,,,,,,,,,
5,2023,2022,TimesFM_20M_US,226803,249,-23.781825399147483,49.635145919586606,55.507053836907694,44.04153107081977,49.53182600876717,-51.37531925152864,-2.62398581995879,0.020562305741907032,19.579114666227696,-20.3870314490193,53.53674857471445,-5.142977111764983,-0.09456185384796591,1.3930753454632558,-12.307727878617145,-0.41984542910296346,-39.0675913729115,-1.4731983355029563
5,2023,2022,TimesFM_20M_Global,226803,249,-23.46947931738288,49.721123618294286,51.43110195302262,48.092187957366946,49.72005212219952,-48.093676008749625,-2.3850919469309164,0.02066777258654938,20.164285939011915,-19.084792066964138,53.95518373225426,-3.7080887639524085,0.24143345852664808,0.6047938425212558,-5.401613619245944,-0.17817899846412988,-42.69206238950368,-1.6662547087787414
5,2023,2022,TimesFM_20M_Augmented,226803,249,-25.16100847025109,49.959656618298695,36.45943478928865,62.82004924496789,48.90227529223891,-41.49319890248907,-2.1384079839274457,0.020634950202971868,19.403780389129384,-16.465555120035344,36.808994096772,-6.233796258575339,-0.7442420416109933,2.4166287111064335,-4.117716782509512,-0.15656125806999996,-37.37548211997957,-1.3398220558850247
21,2017,-,zero,162931,251,0.0,,,,,,,0.0,,,,,,,,,,
21,2017,2016,TimesFM_20M_US,162931,251,-27.646436590474053,46.7467823802714,9.299385164617217,91.2610648874239,38.58214709777497,14.593878332414304,0.9753740014403308,0.012132726818684943,14.962340918318084,5.791221560481867,12.576838413383285,-3.183717584559837,-0.4733390282866063,0.8085201661436128,24.561316554144074,2.5659810986644267,-9.967438221729761,-0.5857880744288935
21,2017,2016,TimesFM_20M_Global,162931,251,-7.5628704291637705,48.51501555873345,51.0548889329631,50.31898774555411,49.56172469211605,30.292035688080013,2.2959362862633204,0.008636632928918706,13.193761459896987,12.020649082571435,6.244726829507352,-2.3289082573627997,0.219291143368972,0.7101388000052098,36.05382294121653,2.438808826738051,-5.761787253136515,-0.4106659357681351
21,2017,2016,TimesFM_20M_Augmented,162931,251,-36.600820064451625,49.3429734059203,98.14557715192383,1.620191924293575,34.4462445656613,-4.27676772901965,-0.3027164394435416,0.014374037128772476,14.127966544801057,-1.6971300511982739,26.210858509633205,-2.657584308326477,0.1340890446585426,0.49575452510234586,19.774826830597988,1.1677977952120788,-24.051594559617634,-2.5649420294242176
