window,year,ckpt,model,n_members,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,long_ann_%,long_sharpe,short_ann_%,short_sharpe
5,2018,-,zero,429,106920,251,0.0,,,,,,,0.0,,,,,,,,,,
5,2018,2017,TimesFM_20M_US,429,106920,251,-29.513350583083266,49.660493827160494,41.956664478003944,57.76894724717807,49.43822715574437,-1.5882413722085997,-0.1200088019597547,0.009538540775440167,13.234374031508299,-0.6302545127811904,12.71592029546773,-3.414918431371916,0.034896337956649794,2.009300971100156,-13.386505088431342,-0.8682276124458541,11.79826371622274,0.6165485682781733
5,2019,-,zero,433,108612,252,0.0,,,,,,,0.0,,,,,,,,,,
5,2019,2018,TimesFM_20M_US,433,108612,252,-42.36621842009747,52.65071999410746,82.8864181382167,15.840836242624693,44.47960349653744,8.785402481961961,0.6304744951448885,0.009666746080331731,13.934588234125155,3.4862708261753808,8.499681281214777,-3.207781963435483,0.1634088034255409,2.3709717515434567,35.957902712855386,2.2041404897398347,-27.17250023089343,-1.6901295522736035
5,2020,-,zero,443,112079,253,0.0,,,,,,,0.0,,,,,,,,,,
5,2020,2019,TimesFM_20M_US,443,112079,253,-25.65619986689438,48.535408060385976,43.700896410895375,54.0743626850718,48.558830807764465,-86.97954614182231,-1.7795877826355087,0.01638907336245073,48.87623245705171,-34.51569291342155,80.61735227287473,-15.64185116731096,-0.40094550636776344,5.109202513370387,-22.98103862315478,-0.5604511294160498,-63.998507518667516,-1.111939810206283
5,2021,-,zero,453,114156,252,0.0,,,,,,,0.0,,,,,,,,,,
5,2021,2020,TimesFM_20M_US,453,114156,252,-24.313962842395576,48.666736746206944,45.31108139784414,53.04308441374624,48.79068663057126,-2.436363070901285,-0.10683034758040097,0.00813291853129761,22.805907928621757,-0.9668107424211447,15.138288942755961,-7.025197149875264,-0.912389080759446,4.029470215231381,31.887715641953232,1.9229020561860872,-34.32407871285452,-1.6203261454806563
5,2022,-,zero,459,115209,251,0.0,,,,,,,0.0,,,,,,,,,,
5,2022,2021,TimesFM_20M_US,459,115209,251,-29.50183990398334,49.920579121422804,30.477570275093203,69.0002056484782,47.89239929782011,-3.4302639231170926,-0.12664396033333172,0.011223621577814733,27.085886402229594,-1.3612158425067828,24.95548734639875,-6.833536335551697,0.004915134037886034,2.948713360852994,-9.907283369176401,-0.40154813132524253,6.477019446059298,0.19085884275356788
5,2023,-,zero,472,117528,249,0.0,,,,,,,0.0,,,,,,,,,,
5,2023,2022,TimesFM_20M_US,472,117528,249,-20.91855308437176,49.82302089714791,57.16292134831461,42.030943025540275,49.40884462177528,0.5322767860844426,0.032152228612830694,0.00820917222046753,16.5548955406479,0.2112209468589058,22.62098240338363,-3.2798932297427723,0.7580626479396767,4.441333711704482,16.90984835732252,0.9637875615400007,-16.377571571238082,-0.8137096986232397
