window,year,ckpt,model,n_members,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,long_ann_%,long_sharpe,short_ann_%,short_sharpe
512,2020,2019,TimesFM_20M_US,443,111067,253,-1.6356656316493634,52.20542555394492,64.85665397911792,39.019137860005245,51.2426431344284,12.655850929027224,0.3019606990288404,0.007443114603828094,41.9122454336962,5.022163067074295,42.03259303516585,-14.728251476447248,-0.32156076293375807,8.382653655880574,18.895291327523868,0.33570606384029616,-6.239440398496633,-0.15004766382762433
512,2020,2019,Chronos_Small_US,443,111067,253,-4.8526614350849595,50.86569368039111,66.95882948632888,33.97812815999401,49.273194224972116,15.422545984300605,0.5445175792178627,0.009437498587817157,28.323320628974614,6.120057930278018,27.67369330265894,-7.904306818818441,0.8255379514795818,10.922605881649435,38.02517736888205,0.6880267209079732,-22.60263138458143,-0.5104434182675506
512,2021,-,zero,453,113125,252,0.0,,,,,,,0.0,,,,,,,,,,
512,2021,2020,TimesFM_20M_US,453,113125,252,-3.3333576267099208,51.34055248618784,59.090227692922696,43.04513426014093,50.83217695840916,23.39865878501911,1.1775920779578157,0.004295234084623664,19.8699186441515,9.285182057547265,18.03804696466893,-3.8761575286612655,-0.10422175253162586,2.270072720316464,47.323335768354255,2.3459850834802314,-23.924676983335136,-1.3229969291485564
512,2021,2020,Chronos_Small_US,453,113125,252,0.21099492647974616,52.64795580110497,86.35674667288505,14.686726337840412,44.249091376825994,0.2830708237675263,0.015705134793416658,0.0013477327311483068,18.02409387063555,0.11232969197124058,17.436566885785588,-4.348654212993676,0.18661179024820007,3.468717421940278,31.22279919722816,1.504762866995745,-30.93972837346065,-1.7455966919185006
512,2022,-,zero,459,114838,251,0.0,,,,,,,0.0,,,,,,,,,,
512,2022,2021,TimesFM_20M_US,459,114838,251,-6.714203629817073,49.31207440045978,52.548470563215545,46.389820307798125,49.33980651912691,-4.9356301114584165,-0.2310588171723332,0.005304392545525434,21.360925204499857,-1.9585833775628638,22.407684024880382,-6.837623353155021,-0.6674512851669832,2.642874312173968,-17.865613468217575,-0.5690972551586408,12.929983356759156,0.4860428237221249
512,2022,2021,Chronos_Small_US,459,114838,251,-0.850509586555992,49.402636757867604,66.94963314783965,32.59564955721778,48.062971010670175,-0.20390820913894359,-0.011702259433562632,0.0017301279768733057,17.424687112484047,-0.0809159560075173,14.437227772077211,-4.144246783754271,-0.4767628311991519,1.3916195076461109,-18.814017767851553,-0.676294224342419,18.61010955871261,0.6160048880651972
512,2023,-,zero,472,117179,249,0.0,,,,,,,0.0,,,,,,,,,,
512,2023,2022,TimesFM_20M_US,472,117179,249,-5.164517806618196,50.10368752080151,52.954726236245534,47.0766253189056,50.00527184676935,-1.3556976882010772,-0.09318038688173665,0.0039946478719012244,14.549174279794645,-0.5379752730956655,12.431835032709081,-4.807347583830941,-1.054412963833472,3.6421119224336254,18.06823868084626,1.0007202359963312,-19.423936369047336,-0.9807877075102415
512,2023,2022,Chronos_Small_US,472,117179,249,-0.5935053753863384,50.05077701635958,48.420721198462154,51.78147268408551,50.05830461252333,-7.181101003758571,-0.512749678316004,0.00127179502381386,14.005081441187977,-2.8496432554597506,13.880943471563189,-4.34675885245521,-1.0326260929595967,3.8566148972796723,9.704873412186712,0.5491188741571655,-16.885974415945284,-0.7981788848577782
