window,year,ckpt,model,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,IC_mean,IC_t,IC_pos_%,long_ann_%,long_sharpe,short_ann_%,short_sharpe
512,2023,2022,Chronos_Small_US,10994,239,-2.527473444300732,49.12679643441877,52.27620504973222,46.27124523066251,49.127252918966384,-2.2869886231583325,-0.18689637102318077,0.002265127593888229,12.236666825781636,-0.9075351679199731,12.772335460386042,-2.8298530810828892,0.16269537983620738,2.4724423687651784,0.012103118575931583,1.1240634151449855,51.88284518828452,24.443587231014924,1.9120598040319379,-26.730575854173253,-1.9843129177846994
252,2017,-,zero,11276,246,0.0,,,,,,,0.0,,,,,,,,,,,,,
252,2017,2016,Chronos_Small_US,11276,246,-2.2519210336696016,50.56757715501951,50.78344716753717,50.39695141314703,50.42044508768133,12.28908989005626,1.389812013958963,0.0019569160688747873,8.84226770716282,4.876622972244547,5.217314114002292,-1.6030920023949125,-0.22683960379314227,0.48962506852212995,0.03557457618321403,3.565089425366082,57.3170731707317,20.279172250225624,2.048214104634756,-7.990082360169363,-0.7270728180374656
252,2018,-,zero,11071,247,0.0,,,,,,,0.0,,,,,,,,,,,,,
252,2018,2017,Chronos_Small_US,11071,247,-1.1513074608457963,51.034233583235476,56.12224246104027,46.93311582381729,51.03682544557802,26.954098205684126,2.4002463721250784,0.002186295882929606,11.229721464726179,10.696070716541321,4.365824490896742,-2.892389621943582,0.1986619630726378,2.210682905997524,0.035322037330545064,3.494047071114784,59.91902834008097,17.783971318608558,1.1254100345750948,9.170126887075572,0.5165653580731647
252,2019,-,zero,11359,242,0.0,,,,,,,0.0,,,,,,,,,,,,,
252,2019,2018,Chronos_Small_US,11359,242,-1.402536208191285,50.69988555330575,55.287121352908386,46.570759451321514,50.69933103136365,17.537592894121367,1.9681666840519179,0.0019434677244784238,8.91062379839509,6.9593622595719715,7.122343130668762,-1.803023401454771,-0.13386404377934985,1.1437476646143256,0.03255279054678074,3.2622975254478255,57.02479338842975,37.88852052706271,3.1929255654085478,-20.35092763294135,-1.7536042777778391
252,2020,-,zero,11838,245,0.0,,,,,,,0.0,,,,,,,,,,,,,
252,2020,2019,Chronos_Small_US,11838,245,-2.519343094452209,49.957763135664806,56.39545372541945,44.289118347895155,49.923260303647375,20.69597853033659,2.007905090660147,0.0032098219361556776,10.307249394707341,8.21268989299071,6.06049236925238,-2.281222577677862,-0.05115340045917785,0.6921159074869823,0.015572320257722913,1.5492984693396126,52.244897959183675,19.33899045769191,0.8437677123399742,1.3569880726446808,0.05961544489033415
252,2021,-,zero,11757,244,0.0,,,,,,,0.0,,,,,,,,,,,,,
252,2021,2020,Chronos_Small_US,11757,244,-1.8068765830461242,50.48907034107341,51.11781405251952,49.91014540107825,50.49755231351174,-9.059182337898559,-0.7361363560224727,0.002170101896685944,12.30639169466859,-3.594913626150222,13.579103893040678,-2.8044296566132587,-0.27673481547466666,1.2681505036643577,0.013361152287042335,1.339950308929026,53.68852459016394,25.799353037918234,1.4258184504898106,-34.85853537581679,-1.8397372496506241
252,2022,-,zero,11629,246,0.0,,,,,,,0.0,,,,,,,,,,,,,
252,2022,2021,Chronos_Small_US,11629,246,-1.2688188621994279,50.75242927164847,50.35368577810871,51.09477385328432,50.668482118284395,16.729435621899334,1.139825758708182,0.0024904501259115004,14.677186836749149,6.638664929325133,13.411157259669038,-2.9310879705352266,0.04492746805071775,0.5439490575733625,0.014903082707915759,1.4595725999054525,54.47154471544715,-1.4196057426995117,-0.07054909768499287,18.149041364598855,0.792751670492551
252,2023,-,zero,11398,239,0.0,,,,,,,0.0,,,,,,,,,,,,,
252,2023,2022,Chronos_Small_US,11398,239,-2.1355958215082405,49.6929285839621,49.06077348066298,50.26809651474531,49.64917356738259,-1.2370697976847325,-0.10739677187737903,0.0022671198114631473,11.518686977828022,-0.49090071336695734,9.195414516229938,-2.416785594076179,-0.21248880032836084,0.3970936302351178,0.017307376989865834,1.6728306466208605,52.30125523012552,26.159171974386425,1.9286315131156813,-27.396241772071157,-1.9517993839470273
21,2017,-,zero,11961,246,0.0,,,,,,,0.0,,,,,,,,,,,,,
21,2017,2016,Chronos_Small_US,11961,246,-1.0477089161039732,50.22991388679876,58.903335217637085,43.31229335737902,50.21129238551016,31.3851753586895,3.207242755663925,0.0018222263359149,9.785718684145104,12.454434666146627,5.182650939844957,-1.3495008642840738,0.38583340401525823,0.3950384770562323,0.04983742729690445,4.799076870553922,59.756097560975604,30.561278868390385,3.0640019200172786,0.8238964902991117,0.07039004853652
21,2018,-,zero,11999,247,0.0,,,,,,,0.0,,,,,,,,,,,,,
21,2018,2017,Chronos_Small_US,11999,247,-1.9118774262979477,51.4792899408284,46.64186046511628,55.40458937198067,51.02551676641751,19.905401465409106,1.9839937046185487,0.002394826785524755,10.032996283743858,7.898968835479804,3.8052868830868003,-1.940277858686585,0.2817318919292095,0.8859101829201914,0.030035158289316136,3.262552943715861,59.51417004048582,-3.8660977605310483,-0.24477714987676083,23.771499225940147,1.3679648954025236
21,2019,-,zero,12077,242,0.0,,,,,,,0.0,,,,,,,,,,,,,
21,2019,2018,Chronos_Small_US,12077,242,-2.0085173767924624,50.08694212138776,57.46385647099809,43.40277777777778,49.98772463795722,-6.7269887615785,-0.6779915153124532,0.0017887915822978571,9.921936498686655,-2.669439984753373,11.48209015345374,-1.75505354564476,-0.05334504960656166,0.4109356123560506,0.00360183575605012,0.35124977165114335,52.892561983471076,27.13327294533479,2.5361166584173573,-33.86026170691328,-2.6887014450505893
21,2020,-,zero,12204,245,0.0,,,,,,,0.0,,,,,,,,,,,,,
21,2020,2019,Chronos_Small_US,12204,245,-1.659444105279495,48.918387413962634,55.37117903930131,43.21654576323507,48.875401802568355,-2.1139014687024167,-0.20613607477506043,0.002705653084460548,10.254883678216661,-0.8388497891676256,9.129127257427506,-3.370711325888339,-0.753389780665484,3.3300649073715776,0.006857651585437644,0.7849668164293916,53.06122448979592,9.931577998060714,0.43924544131642707,-12.045479466763126,-0.5469297561540655
21,2021,-,zero,12177,244,0.0,,,,,,,0.0,,,,,,,,,,,,,
21,2021,2020,Chronos_Small_US,12177,244,-1.5180517180240605,49.77416440831075,49.879848952969446,49.67721618642734,49.75928352270254,10.429391933939415,0.8937623490301502,0.0020097372295645654,11.669088483372207,4.1386475928331015,8.861320236920623,-2.5266949772041714,0.14549345737729355,1.056304348141822,0.01090515753425913,1.1512176262519869,49.59016393442623,25.216929396866515,1.5585745995529103,-14.787537462927087,-0.790686453335637
21,2022,-,zero,12163,246,0.0,,,,,,,0.0,,,,,,,,,,,,,
21,2022,2021,Chronos_Small_US,12163,246,-1.7181579089489807,50.57140508098331,35.17364203027605,63.77519853390348,48.89801798211651,-4.867922593023006,-0.2946588018118909,0.0024614634510288923,16.520540242102353,-1.931715314691669,21.58884238091544,-2.962339361083657,0.18721855045835828,0.7518465375382597,0.011107102822237746,0.9927056220888102,52.4390243902439,-27.28017503712334,-1.4390370096679885,22.412252444100336,0.9056227390071268
21,2023,-,zero,11950,239,0.0,,,,,,,0.0,,,,,,,,,,,,,
21,2023,2022,Chronos_Small_US,11950,239,-1.939328459238432,50.21757322175732,51.97611101352538,48.61754834585265,50.21727263294062,8.564689173131075,0.7102986447633142,0.002022910098094277,12.057870638321438,3.3986861798139185,9.133584223174719,-4.013332266574056,-0.6298423176224455,3.260716899617063,0.018004116417319836,1.884265595232813,56.48535564853556,28.40277494130448,2.2637300258752453,-19.8380857681734,-1.2977282944675816
5,2017,-,zero,12025,246,0.0,,,,,,,0.0,,,,,,,,,,,,,
5,2017,2016,Chronos_Small_US,12025,246,-2.994168532640362,52.407484407484404,34.32640059958778,66.83612440191388,50.00124635301886,11.269267119913136,1.1481982094736365,0.0018863891460842626,9.814740196363186,4.471931396790927,6.339700271016269,-1.8103663183715553,-0.04794733569214573,0.4738590067857369,0.023181901424016486,2.2451584291294298,58.94308943089431,21.065699457446154,2.2567260531892774,-9.79643233753302,-0.8073003508598084
5,2018,-,zero,12063,247,0.0,,,,,,,0.0,,,,,,,,,,,,,
5,2018,2017,Chronos_Small_US,12063,247,-3.566131321989219,52.25897372129653,26.962962962962962,72.76001800990545,48.16203010787355,-1.5332187603767278,-0.13861665388901875,0.0031261646891417687,11.060855368823686,-0.608420143006638,6.958510923244853,-1.752053511294723,0.2574705141365643,0.34621748048637047,0.010675956828546327,1.0027468383264564,53.441295546558706,-6.191104014824186,-0.41999871913797127,4.6578852544474545,0.24425050789041747
5,2019,-,zero,12093,242,0.0,,,,,,,0.0,,,,,,,,,,,,,
5,2019,2018,Chronos_Small_US,12093,242,-2.1877676303037497,49.50797982303812,49.78264649626152,49.25890886155787,49.4926363603148,-1.1326387491740433,-0.11436632990186564,0.0019085372924768729,9.90360318588458,-0.44945982110081084,11.297125191521484,-1.4968985900864584,0.2191412459675128,0.262927934789873,-0.002610998061847944,-0.24769433560622642,51.2396694214876,24.381652874410154,2.0938528959647664,-25.514291623584196,-2.054948721010517
5,2020,-,zero,12236,245,0.0,,,,,,,0.0,,,,,,,,,,,,,
5,2020,2019,Chronos_Small_US,12236,245,-5.566409234958702,51.09512912716574,38.9440669106116,61.828536247498846,50.03743529812983,-1.0636802774405756,-0.10683651311958535,0.004431489088240028,9.956149319942389,-0.4220953481907046,12.729487151113183,-2.4335126321086253,-0.41952388933742946,1.5178994495395366,0.00020763964752571948,0.02200047208176288,54.285714285714285,8.44556760622266,0.37797033686748704,-9.509247883663235,-0.3944773015059706
5,2021,-,zero,12193,244,0.0,,,,,,,0.0,,,,,,,,,,,,,
5,2021,2020,Chronos_Small_US,12193,244,-5.445151720501151,50.00410071352416,38.73842989372643,60.339676049693345,49.15354469678686,-0.014263411609665756,-0.001115251013974634,0.003769230332880315,12.78941819459325,-0.005660083972089585,14.664379011025531,-2.86255967560731,-0.3658869945047427,0.9052295997038757,-0.0008943748202350931,-0.08590710447599813,50.0,22.288375466929658,1.404001206762511,-22.302638878539316,-1.1199620876532392
5,2022,-,zero,12243,246,0.0,,,,,,,0.0,,,,,,,,,,,,,
5,2022,2021,Chronos_Small_US,12243,246,-3.510628447101616,51.6049987748101,28.157056950831272,71.72560327819092,48.2133526539203,-9.586793805611585,-0.5430546450267306,0.003435934400770081,17.65346064785009,-3.8042832561950735,24.883333360408223,-5.462045525422993,-0.4966462616563439,2.7646441079742754,0.0035832738333714653,0.312797771333051,52.03252032520326,-25.284959917573993,-1.2917077170198012,15.69816611196241,0.6014394913340897
5,2023,-,zero,11950,239,0.0,,,,,,,0.0,,,,,,,,,,,,,
5,2023,2022,Chronos_Small_US,11950,239,-2.1511917916060996,50.945606694560674,38.187247496926055,62.55393958766182,49.88306198036987,-0.6301102562663675,-0.049070123950536976,0.0018948973056752954,12.84101619350958,-0.2500437524866538,18.561829123581507,-2.272271659650491,0.603922772966495,2.0537732251195786,-0.0036458003962328857,-0.34295773482885306,49.7907949790795,16.044508280363008,1.2184310230088928,-16.67461853662937,-1.167331723206922
